RECORD_ID,TIMESTAMP,SUBSCRIBER_ID,USERNAME,MSISDN,IMSI,SOURCE_PRIVATE_IP,SOURCE_PRIVATE_PORT,SOURCE_PUBLIC_IP,SOURCE_PUBLIC_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,BYTES_SENT,BYTES_RECEIVED,PROVIDER_NAME,ACCESS_TYPE
IPD-SUB-451271,2026-05-24T23:48:22.451178,SUB-000008,michaeljackson,+917820984601,405189034500367,100.115.222.52,58957,150.129.2.222,16626,172.217.16.142,443,TCP,78562093,1221281645,Vodafone Idea,CELLULAR
IPD-SUB-609708,2026-05-24T23:54:17.451178,SUB-000038,michelle88,+916656933137,N/A (BROADBAND),192.168.1.107,53682,122.160.197.4,37042,142.250.190.46,443,TCP,118565095,1564272596,Hathway,BROADBAND
IPD-SUB-221656,2026-05-25T00:08:10.451178,SUB-000074,ryanashley,+917766469204,N/A (BROADBAND),192.168.1.108,63852,49.206.239.76,3473,157.240.23.174,443,TCP,15429607,79603754,ACT Fibernet,BROADBAND
IPD-SUB-710410,2026-05-25T00:09:13.451178,SUB-000099,mary56,+918970737615,N/A (BROADBAND),192.168.1.156,63716,49.206.19.91,43405,31.13.88.49,443,TCP,74213937,466186594,ACT Fibernet,BROADBAND
IPD-SUB-311058,2026-05-25T00:02:48.451178,SUB-000027,christineoconnor,+917604216150,N/A (BROADBAND),192.168.1.192,59774,103.241.3.71,19812,31.13.88.49,443,TCP,44243336,353671071,ACT Fibernet,BROADBAND
IPD-SUB-186548,2026-05-25T00:08:40.451178,SUB-000016,mark38,+916026809904,N/A (BROADBAND),192.168.1.5,60570,115.110.170.94,39414,8.8.4.4,53,UDP,212459030,919176478,Hathway,BROADBAND
IPD-SUB-504571,2026-05-25T00:06:28.451178,SUB-000018,richardreynolds,+917654890656,N/A (BROADBAND),192.168.1.13,56717,103.142.23.71,27042,172.217.16.142,443,TCP,74147291,1158667536,Tata Play Fiber,BROADBAND
IPD-SUB-478795,2026-05-25T00:21:53.451178,SUB-000018,richardreynolds,+917654890656,N/A (BROADBAND),192.168.1.103,50305,103.85.204.172,2187,142.250.190.46,443,TCP,66606878,1309778755,Tata Play Fiber,BROADBAND
IPD-SUB-192128,2026-05-25T00:19:43.451178,SUB-000031,mckinneyfaith,+918524173983,N/A (BROADBAND),192.168.1.219,63697,122.160.12.246,28942,23.212.248.51,443,TCP,77683141,1303329932,Hathway,BROADBAND
IPD-SUB-951566,2026-05-25T00:17:54.451178,SUB-000016,mark38,+916026809904,N/A (BROADBAND),192.168.1.173,60914,122.160.179.233,48214,142.250.190.46,443,TCP,38039266,481294647,Hathway,BROADBAND
IPD-SUB-463592,2026-05-25T00:25:52.451178,SUB-000099,mary56,+918970737615,N/A (BROADBAND),192.168.1.150,54406,103.241.2.109,34590,142.250.190.46,443,TCP,7958930,199411761,ACT Fibernet,BROADBAND
IPD-SUB-167726,2026-05-25T00:31:50.451178,SUB-000099,mary56,+918970737615,N/A (BROADBAND),192.168.1.164,61280,103.241.2.241,27452,23.212.248.60,443,TCP,34203404,527411916,ACT Fibernet,BROADBAND
IPD-SUB-687623,2026-05-25T00:33:42.451178,SUB-000005,wwebster,+917694107918,N/A (BROADBAND),192.168.1.102,51987,103.241.3.101,36528,23.212.248.51,443,TCP,21518122,691438581,ACT Fibernet,BROADBAND
IPD-SUB-799696,2026-05-25T00:53:28.451178,SUB-000074,ryanashley,+917766469204,N/A (BROADBAND),192.168.1.59,50333,103.241.0.196,35439,172.217.16.142,443,TCP,31203195,944361002,ACT Fibernet,BROADBAND
IPD-SUB-685643,2026-05-25T01:01:01.451178,SUB-000018,richardreynolds,+917654890656,N/A (BROADBAND),192.168.1.90,64517,103.85.207.245,27473,157.240.16.53,443,TCP,149569634,652493841,Tata Play Fiber,BROADBAND
IPD-SUB-386011,2026-05-25T00:57:54.451178,SUB-000050,nicoleward,+919013855207,N/A (BROADBAND),192.168.1.130,52837,122.160.190.232,3427,172.217.16.142,443,TCP,83337504,1141194118,Hathway,BROADBAND
IPD-SUB-314297,2026-05-25T01:03:33.451178,SUB-000027,christineoconnor,+917604216150,N/A (BROADBAND),192.168.1.56,53339,49.206.158.121,36984,172.217.16.142,443,TCP,7589078,201086766,ACT Fibernet,BROADBAND
IPD-SUB-545416,2026-05-25T01:03:12.451178,SUB-000050,nicoleward,+919013855207,N/A (BROADBAND),192.168.1.18,56333,115.110.242.14,7075,31.13.88.49,443,TCP,129639249,647006250,Hathway,BROADBAND
IPD-SUB-139179,2026-05-25T01:10:53.451178,SUB-000089,nicholasbrown,+918063530621,405455135266106,100.103.223.48,63768,106.202.27.203,9257,23.212.248.51,443,TCP,81143389,1443878542,Airtel,CELLULAR
IPD-SUB-691452,2026-05-25T01:27:00.451178,SUB-000016,mark38,+916026809904,N/A (BROADBAND),192.168.1.243,50436,122.160.166.212,9997,157.240.16.53,443,TCP,111663199,544173759,Hathway,BROADBAND
IPD-SUB-150813,2026-05-25T01:29:53.451178,SUB-000005,wwebster,+917694107918,N/A (BROADBAND),192.168.1.122,65316,103.241.1.23,23974,172.217.16.142,443,TCP,67278757,892921829,ACT Fibernet,BROADBAND
IPD-SUB-160594,2026-05-25T01:45:34.451178,SUB-000005,wwebster,+917694107918,N/A (BROADBAND),192.168.1.178,57329,49.207.221.191,42907,157.240.23.174,443,TCP,263234260,1277944203,ACT Fibernet,BROADBAND
IPD-SUB-215134,2026-05-25T01:40:17.451178,SUB-000050,nicoleward,+919013855207,N/A (BROADBAND),192.168.1.57,51679,122.160.235.236,48195,31.13.88.49,443,TCP,55311103,404996248,Hathway,BROADBAND
IPD-SUB-983187,2026-05-25T01:38:17.451178,SUB-000027,christineoconnor,+917604216150,N/A (BROADBAND),192.168.1.123,51981,103.241.1.51,31190,172.217.16.142,443,TCP,59919405,1103520311,ACT Fibernet,BROADBAND
IPD-SUB-324989,2026-05-25T01:36:22.451178,SUB-000031,mckinneyfaith,+918524173983,N/A (BROADBAND),192.168.1.152,52559,115.110.122.206,41623,157.240.16.53,443,TCP,37774397,282160240,Hathway,BROADBAND
IPD-SUB-785478,2026-05-25T01:50:06.451178,SUB-000027,christineoconnor,+917604216150,N/A (BROADBAND),192.168.1.83,51484,103.241.3.86,1280,172.217.16.142,443,TCP,31009760,514217695,ACT Fibernet,BROADBAND
IPD-SUB-798711,2026-05-25T01:54:51.451178,SUB-000005,wwebster,+917694107918,N/A (BROADBAND),192.168.1.217,55365,49.207.24.18,47234,31.13.88.49,443,TCP,49282238,284839746,ACT Fibernet,BROADBAND
IPD-SUB-679102,2026-05-25T02:10:33.451178,SUB-000031,mckinneyfaith,+918524173983,N/A (BROADBAND),192.168.1.231,52076,122.160.92.93,33249,31.13.88.49,443,TCP,264498899,1220458215,Hathway,BROADBAND
IPD-SUB-790724,2026-05-25T02:03:14.451178,SUB-000089,nicholasbrown,+918063530621,405455135266106,100.103.223.48,50013,106.194.219.141,33452,23.212.248.60,443,TCP,12916927,320186161,Airtel,CELLULAR
IPD-SUB-547341,2026-05-25T02:18:19.451178,SUB-000027,christineoconnor,+917604216150,N/A (BROADBAND),192.168.1.188,53216,103.241.3.218,2814,172.217.16.142,443,TCP,44555229,671881707,ACT Fibernet,BROADBAND
IPD-SUB-364542,2026-05-25T02:20:43.451178,SUB-000033,omarmiller,+917674669256,405840877441827,100.104.115.241,53779,49.47.211.61,46156,8.8.8.8,53,UDP,54891961,227367669,Jio,CELLULAR
IPD-SUB-768548,2026-05-25T02:30:35.451178,SUB-000063,lawrencerobertson,+919774476372,405071188879306,100.74.195.9,54196,210.212.136.59,15121,172.217.16.142,443,TCP,31741153,982239835,BSNL,CELLULAR
IPD-SUB-883780,2026-05-25T02:27:23.451178,SUB-000016,mark38,+916026809904,N/A (BROADBAND),192.168.1.102,58306,115.110.198.217,9643,172.217.16.142,443,TCP,68145734,1269151327,Hathway,BROADBAND
IPD-SUB-425042,2026-05-25T02:46:31.451178,SUB-000084,thowell,+918736292116,405840800206875,100.66.175.118,59478,49.32.193.48,13098,23.212.248.60,443,TCP,20016461,261424922,Jio,CELLULAR
IPD-SUB-872195,2026-05-25T02:36:06.451178,SUB-000074,ryanashley,+917766469204,N/A (BROADBAND),192.168.1.165,58652,103.241.1.102,5834,103.14.161.45,443,TCP,355833564,376987259,ACT Fibernet,BROADBAND
IPD-SUB-215303,2026-05-25T02:43:04.451178,SUB-000088,ashley45,+918829921335,N/A (BROADBAND),192.168.1.148,63374,122.160.219.49,39951,8.8.4.4,53,UDP,17934754,116915159,Hathway,BROADBAND
IPD-SUB-658564,2026-05-25T02:35:09.451178,SUB-000050,nicoleward,+919013855207,N/A (BROADBAND),192.168.1.228,62031,115.110.105.113,1736,31.13.88.49,443,TCP,138912303,821955512,Hathway,BROADBAND
IPD-SUB-251371,2026-05-25T02:44:53.451178,SUB-000018,richardreynolds,+917654890656,N/A (BROADBAND),192.168.1.247,55138,103.142.20.138,34027,23.212.248.60,443,TCP,15724579,354170626,Tata Play Fiber,BROADBAND
IPD-SUB-251436,2026-05-25T02:32:12.451178,SUB-000089,nicholasbrown,+918063530621,405455135266106,100.103.223.48,63894,223.177.186.140,17158,157.240.16.53,443,TCP,199609346,859885987,Airtel,CELLULAR
IPD-SUB-775540,2026-05-25T02:54:29.451178,SUB-000005,wwebster,+917694107918,N/A (BROADBAND),192.168.1.165,52161,49.204.233.169,31804,8.8.8.8,53,UDP,113754146,714130720,ACT Fibernet,BROADBAND
IPD-SUB-377501,2026-05-25T02:54:10.451178,SUB-000016,mark38,+916026809904,N/A (BROADBAND),192.168.1.111,49512,115.110.20.214,30352,157.240.16.53,443,TCP,193609552,1004558312,Hathway,BROADBAND
IPD-SUB-840860,2026-05-25T03:06:24.451178,SUB-000088,ashley45,+918829921335,N/A (BROADBAND),192.168.1.105,53345,122.160.236.178,29053,157.240.16.53,443,TCP,157620110,1237441984,Hathway,BROADBAND
IPD-SUB-178123,2026-05-25T03:02:11.451178,SUB-000005,wwebster,+917694107918,N/A (BROADBAND),192.168.1.37,56912,49.205.253.182,16690,31.13.88.49,443,TCP,245001689,1083964744,ACT Fibernet,BROADBAND
IPD-SUB-432968,2026-05-25T03:15:26.451178,SUB-000050,nicoleward,+919013855207,N/A (BROADBAND),192.168.1.45,65435,122.160.58.132,34689,103.14.161.45,443,TCP,80063542,95245970,Hathway,BROADBAND
IPD-SUB-184869,2026-05-25T03:26:00.451178,SUB-000031,mckinneyfaith,+918524173983,N/A (BROADBAND),192.168.1.18,57917,122.160.121.36,2627,8.8.8.8,53,UDP,83257503,568120893,Hathway,BROADBAND
IPD-SUB-812664,2026-05-25T03:26:56.451178,SUB-000099,mary56,+918970737615,N/A (BROADBAND),192.168.1.136,55871,103.241.3.51,38999,142.250.190.46,443,TCP,50470576,757513324,ACT Fibernet,BROADBAND
IPD-SUB-883345,2026-05-25T03:23:29.451178,SUB-000089,nicholasbrown,+918063530621,405455135266106,100.103.223.48,63091,223.176.210.104,27902,142.250.190.46,443,TCP,62018036,794289926,Airtel,CELLULAR
IPD-SUB-889817,2026-05-25T03:18:14.451178,SUB-000055,derekryan,+919523414579,405188005874184,100.78.147.249,62727,150.129.171.97,38353,157.240.23.174,443,TCP,112342615,650186326,Vodafone Idea,CELLULAR
IPD-SUB-416103,2026-05-25T03:49:14.451178,SUB-000050,nicoleward,+919013855207,N/A (BROADBAND),192.168.1.152,59533,115.110.241.65,23528,172.217.16.142,443,TCP,71639169,1419892234,Hathway,BROADBAND
IPD-SUB-726563,2026-05-25T04:08:59.451178,SUB-000005,wwebster,+917694107918,N/A (BROADBAND),192.168.1.177,59859,103.241.2.45,38948,157.240.16.53,443,TCP,136593442,799851084,ACT Fibernet,BROADBAND
IPD-SUB-245408,2026-05-25T04:23:41.451178,SUB-000063,lawrencerobertson,+919774476372,405071188879306,100.74.195.9,62528,117.192.120.29,10076,8.8.8.8,53,UDP,27659748,194381616,BSNL,CELLULAR
IPD-SUB-633955,2026-05-25T04:19:56.451178,SUB-000050,nicoleward,+919013855207,N/A (BROADBAND),192.168.1.39,65349,122.160.181.211,1997,31.13.88.49,443,TCP,150019677,858735750,Hathway,BROADBAND
IPD-SUB-565978,2026-05-25T04:37:36.451178,SUB-000027,christineoconnor,+917604216150,N/A (BROADBAND),192.168.1.78,52433,49.204.238.141,24683,142.250.190.46,443,TCP,85010454,1257593057,ACT Fibernet,BROADBAND
IPD-SUB-793680,2026-05-25T04:35:58.451178,SUB-000099,mary56,+918970737615,N/A (BROADBAND),192.168.1.108,58193,103.241.2.3,20939,157.240.23.174,443,TCP,119533522,561669498,ACT Fibernet,BROADBAND
IPD-SUB-148556,2026-05-25T07:15:39.451178,SUB-000062,jacquelineshaw,+917552240168,N/A (BROADBAND),192.168.1.87,53989,103.142.23.37,40831,142.250.190.46,443,TCP,34976170,1055220836,Tata Play Fiber,BROADBAND
IPD-SUB-429177,2026-05-25T07:07:28.451178,SUB-000048,jarvisdean,+916010506738,405184288056513,100.77.82.198,57344,150.129.217.64,30687,157.240.23.174,443,TCP,118961520,841446239,Vodafone Idea,CELLULAR
IPD-SUB-993252,2026-05-25T07:11:22.451178,SUB-000002,jadams,+919952590684,N/A (BROADBAND),192.168.1.30,59923,115.110.195.18,14762,157.240.13.35,443,TCP,170258354,1259613756,Hathway,BROADBAND
IPD-SUB-146557,2026-05-25T07:10:43.451178,SUB-000090,swalls,+918785362517,N/A (BROADBAND),192.168.1.229,64557,103.241.1.12,46904,8.8.8.8,53,UDP,322884192,1484968055,ACT Fibernet,BROADBAND
IPD-SUB-918831,2026-05-25T07:28:33.451178,SUB-000015,melissahaynes,+919204600776,405457573697035,100.73.229.53,53496,106.206.97.240,23734,172.217.16.142,443,TCP,120352368,1993394599,Airtel,CELLULAR
IPD-SUB-432475,2026-05-25T07:20:49.451178,SUB-000095,latashadyer,+917499589805,N/A (BROADBAND),192.168.1.195,53650,103.241.2.73,8522,172.217.16.142,443,TCP,34964262,511947213,ACT Fibernet,BROADBAND
IPD-SUB-803543,2026-05-25T07:22:25.451178,SUB-000017,baileysteven,+916364937963,405186741986270,100.103.76.177,60020,27.58.110.237,21647,103.14.161.45,443,TCP,326771264,261410598,Vodafone Idea,CELLULAR
IPD-SUB-817346,2026-05-25T07:18:22.451178,SUB-000028,nancy52,+916309679899,405452267672852,100.107.45.187,62773,223.183.164.243,27075,142.250.190.46,443,TCP,120519823,2010765043,Airtel,CELLULAR
IPD-SUB-732222,2026-05-25T07:44:29.451178,SUB-000017,baileysteven,+916364937963,405186741986270,100.103.76.177,58893,150.129.234.143,26370,157.240.23.174,443,TCP,233914729,1123496408,Vodafone Idea,CELLULAR
IPD-SUB-684549,2026-05-25T07:35:50.451178,SUB-000038,michelle88,+916656933137,N/A (BROADBAND),192.168.1.135,58257,115.110.162.20,35420,142.250.190.46,443,TCP,10166530,144875162,Hathway,BROADBAND
IPD-SUB-157014,2026-05-25T07:41:03.451178,SUB-000095,latashadyer,+917499589805,N/A (BROADBAND),192.168.1.30,53993,103.241.0.12,37473,157.240.16.53,443,TCP,73747002,631422345,ACT Fibernet,BROADBAND
IPD-SUB-557762,2026-05-25T07:35:51.451178,SUB-000093,maryharper,+918502435585,N/A (BROADBAND),192.168.1.239,50025,115.110.195.213,10746,172.217.16.142,443,TCP,76224834,1532891592,Hathway,BROADBAND
IPD-SUB-332415,2026-05-25T07:44:00.451178,SUB-000064,josephsandoval,+918630884248,N/A (BROADBAND),192.168.1.137,63811,49.204.26.197,48255,157.240.16.53,443,TCP,62010742,276867058,ACT Fibernet,BROADBAND
IPD-SUB-193066,2026-05-25T07:53:48.451178,SUB-000017,baileysteven,+916364937963,405186741986270,100.103.76.177,60305,150.129.242.101,26115,31.13.88.49,443,TCP,329847013,1809733887,Vodafone Idea,CELLULAR
IPD-SUB-416890,2026-05-25T07:57:26.451178,SUB-000093,maryharper,+918502435585,N/A (BROADBAND),192.168.1.221,49718,115.110.224.181,4676,172.217.16.142,443,TCP,34290513,547287751,Hathway,BROADBAND
IPD-SUB-857951,2026-05-25T07:53:40.451178,SUB-000059,kristine26,+916678634340,N/A (BROADBAND),192.168.1.166,56449,115.110.117.35,45001,157.240.16.53,443,TCP,205387435,835683257,Hathway,BROADBAND
IPD-SUB-871263,2026-05-25T07:57:25.451178,SUB-000022,charles55,+919819755736,405451946439526,100.124.168.224,63909,223.182.168.241,46317,157.240.16.53,443,TCP,176656358,730429204,Airtel,CELLULAR
IPD-SUB-574258,2026-05-25T07:56:16.451178,SUB-000024,shawn08,+919936351080,N/A (BROADBAND),192.168.1.2,53353,122.160.179.102,37637,157.240.16.53,443,TCP,357891385,1661083880,Hathway,BROADBAND
IPD-SUB-770551,2026-05-25T07:51:09.451178,SUB-000097,martineztyler,+919276513825,405840102762415,100.85.107.149,55952,49.32.226.193,36416,8.8.8.8,53,UDP,221079892,1075024731,Jio,CELLULAR
IPD-SUB-988488,2026-05-25T08:12:23.451178,SUB-000017,baileysteven,+916364937963,405186741986270,100.103.76.177,55385,150.129.214.140,2714,172.217.16.142,443,TCP,20474285,236861486,Vodafone Idea,CELLULAR
IPD-SUB-773660,2026-05-25T08:10:58.451178,SUB-000059,kristine26,+916678634340,N/A (BROADBAND),192.168.1.158,62239,122.160.137.219,14458,157.240.16.53,443,TCP,177867603,1389497683,Hathway,BROADBAND
IPD-SUB-588641,2026-05-25T08:12:09.451178,SUB-000071,smiththomas,+919528192376,N/A (BROADBAND),192.168.1.122,59305,103.142.21.56,45949,172.217.16.142,443,TCP,8953535,164910891,Tata Play Fiber,BROADBAND
IPD-SUB-373066,2026-05-25T08:12:21.451178,SUB-000060,levans,+917104001886,N/A (BROADBAND),192.168.1.35,50535,103.142.20.182,34838,31.13.88.49,443,TCP,23938291,95768878,Tata Play Fiber,BROADBAND
IPD-SUB-635426,2026-05-25T08:15:01.451178,SUB-000093,maryharper,+918502435585,N/A (BROADBAND),192.168.1.15,52040,122.160.195.237,9278,157.240.13.35,443,TCP,59936765,266297073,Hathway,BROADBAND
IPD-SUB-923335,2026-05-25T08:07:58.451178,SUB-000086,gregory57,+919326630684,405188212929855,100.119.227.186,50330,150.129.146.97,26447,157.240.13.35,443,TCP,18526823,159966119,Vodafone Idea,CELLULAR
IPD-SUB-677558,2026-05-25T08:13:01.451178,SUB-000090,swalls,+918785362517,N/A (BROADBAND),192.168.1.219,51133,49.205.165.38,4744,172.217.16.142,443,TCP,75719159,1589558416,ACT Fibernet,BROADBAND
IPD-SUB-493419,2026-05-25T08:12:25.451178,SUB-000002,jadams,+919952590684,N/A (BROADBAND),192.168.1.229,50068,115.110.36.50,17437,23.212.248.60,443,TCP,30573890,498102835,Hathway,BROADBAND
IPD-SUB-604504,2026-05-25T08:13:30.451178,SUB-000067,brandon70,+917561403846,405072084321586,100.91.91.108,54283,117.192.126.255,43919,157.240.16.53,443,TCP,20157539,156731711,BSNL,CELLULAR
IPD-SUB-276510,2026-05-25T08:22:39.451178,SUB-000023,jamesdeanna,+918747563560,N/A (BROADBAND),192.168.1.34,59725,122.160.197.101,38164,23.212.248.51,443,TCP,2146094,46509695,Hathway,BROADBAND
IPD-SUB-843193,2026-05-25T08:20:46.451178,SUB-000080,whitneygates,+917021214807,405840361386566,100.65.116.36,55022,49.41.34.181,4089,157.240.13.35,443,TCP,20249690,174572595,Jio,CELLULAR
IPD-SUB-146823,2026-05-25T08:23:58.451178,SUB-000060,levans,+917104001886,N/A (BROADBAND),192.168.1.197,58172,103.142.23.190,22163,8.8.4.4,53,UDP,2604559,15880178,Tata Play Fiber,BROADBAND
IPD-SUB-920400,2026-05-25T08:20:26.451178,SUB-000046,mahoneyfrank,+918221902139,N/A (BROADBAND),192.168.1.37,55086,49.205.195.107,43305,172.217.16.142,443,TCP,12870909,160867378,ACT Fibernet,BROADBAND
IPD-SUB-181408,2026-05-25T08:26:01.451178,SUB-000022,charles55,+919819755736,405451946439526,100.124.168.224,50905,223.181.194.175,34416,31.13.88.49,443,TCP,323570196,1555446630,Airtel,CELLULAR
IPD-SUB-439160,2026-05-25T08:31:44.451178,SUB-000034,collinschristopher,+918599944473,N/A (BROADBAND),192.168.1.183,60341,103.142.22.97,7262,172.217.16.142,443,TCP,14604713,177112045,Tata Play Fiber,BROADBAND
IPD-SUB-225852,2026-05-25T08:38:56.451178,SUB-000077,cedwards,+919319939549,N/A (BROADBAND),192.168.1.123,51192,103.85.205.16,8890,172.217.16.142,443,TCP,5046203,64298239,Tata Play Fiber,BROADBAND
IPD-SUB-988786,2026-05-25T08:33:27.451178,SUB-000048,jarvisdean,+916010506738,405184288056513,100.77.82.198,49547,150.129.110.21,39458,157.240.23.174,443,TCP,18779076,96973102,Vodafone Idea,CELLULAR
IPD-SUB-758777,2026-05-25T08:35:07.451178,SUB-000061,josephpowers,+917664589287,405071689858824,100.114.120.24,55786,117.199.148.238,8220,23.212.248.51,443,TCP,15297149,188527819,BSNL,CELLULAR
IPD-SUB-568084,2026-05-25T08:33:13.451178,SUB-000079,steinfrank,+918140232785,N/A (BROADBAND),192.168.1.222,57530,115.110.168.127,16642,157.240.16.53,443,TCP,11862974,101378381,Hathway,BROADBAND
IPD-SUB-291329,2026-05-25T08:46:11.451178,SUB-000002,jadams,+919952590684,N/A (BROADBAND),192.168.1.231,51393,122.160.204.81,39520,172.217.16.142,443,TCP,50794434,1099755919,Hathway,BROADBAND
IPD-SUB-675754,2026-05-25T08:38:07.451178,SUB-000039,ipham,+917551359328,N/A (BROADBAND),192.168.1.127,52653,49.205.247.94,28358,172.217.16.142,443,TCP,1661198,50500664,ACT Fibernet,BROADBAND
IPD-SUB-165968,2026-05-25T08:34:20.451178,SUB-000059,kristine26,+916678634340,N/A (BROADBAND),192.168.1.190,60059,122.160.33.56,31303,31.13.88.49,443,TCP,58870990,429362846,Hathway,BROADBAND
IPD-SUB-240182,2026-05-25T08:59:16.451178,SUB-000002,jadams,+919952590684,N/A (BROADBAND),192.168.1.83,56179,115.110.55.164,40302,103.14.161.45,443,TCP,377876675,346850053,Hathway,BROADBAND
